Country,Population,GDP_per_capita,infection_threshold_date,vaccination_threshold_date,infection_speed_pm,vaccination_speed_pm
Namibia,2545264.0,,,2021-04-24,,735.5098200684356
Nepal,29186486.0,,2020-06-23,2021-01-27,9.298824120176715,741.8559575318014
Netherlands,17138756.0,,2020-03-29,2021-01-09,53.82926664377897,1165.834184175772
New Caledonia,285769.0,,,2021-03-10,,3377.192156590902
New Zealand,5002100.0,,,2021-03-03,,470.7422882389396
Nicaragua,6632263.0,,,2021-03-09,,211.17500645227452
Niger,24281433.0,,,2021-04-20,,166.11588231496333
Nigeria,206606300.0,,2020-05-31,2021-03-16,2.5058932536584475,163.4600400572203
North Macedonia,2083365.0,,2020-07-26,2021-04-04,,888.9224883781766
Norway,5425471.0,,,2021-01-06,,1314.1531859630252
Oman,5118446.0,,2020-05-30,2021-01-04,186.49540635315228,179.3681346078695
Pakistan,221295851.0,,2020-04-21,2021-02-05,6.118204779778422,37.26788252246888
Palestine,5112340.0,,,2021-03-30,,1569.1154178226636
Panama,4321282.0,,2020-05-21,2021-02-01,116.52406238087062,970.3447572579927
Papua New Guinea,8963009.0,,,2021-05-20,,119.21326016849073
Paraguay,7141091.0,,,2021-03-14,,275.882214636391
Peru,33016319.0,,2020-04-14,2021-02-10,70.97601239758637,553.6787227350612
Philippines,109722719.0,,2020-05-06,2021-03-04,3.2269220986646046,245.0446626889247
Poland,37842302.0,,2020-04-22,2020-12-30,9.204866377667335,973.1446393861911
Portugal,10193593.0,,2020-04-04,2020-12-29,49.05041823820119,940.4469389089139
Qatar,2807805.0,,2020-04-26,2020-12-30,438.3020425801175,516.1196910623954
Romania,19224023.0,,2020-04-23,2020-12-31,13.457120811809267,1147.4653354295301
Russia,145940924.0,,2020-04-09,2020-12-15,43.064228737741395,242.11580886736823
Rwanda,12981546.0,,,2021-02-18,,823.8506843141453
Saint Kitts and Nevis,53237.0,,,2021-04-07,,2475.643506082862
Saint Lucia,183712.0,,,2021-03-09,,2046.9766083144634
San Marino,33938.0,,,2021-03-26,,16006.639558410434
Sao Tome and Principe,219544.0,,,2021-04-04,,241.40946689501877
Saudi Arabia,34865919.0,,2020-04-20,2021-01-06,49.77257781923564,291.4540162045384
Senegal,16783877.0,,,2021-02-25,,436.875619778831
Serbia,8733665.0,,2020-05-09,2021-01-11,7.114233638836998,2399.870691933646
Seychelles,98408.0,,,2021-01-19,,17718.74915318538
Sierra Leone,7992169.0,,,2021-03-25,,189.30739160629196
Singapore,5854932.0,,2020-04-22,2021-01-13,115.48668142801088,1471.7278811550104
Slovakia,5459915.0,,,2021-01-03,,1284.964186822549
Slovenia,2078968.0,,,2020-12-31,,1145.5683781568546
Somalia,15933012.0,,,2021-04-17,,14.635755415653152
South Africa,59381566.0,,2020-05-10,2021-02-20,24.12420941093627,101.61655218052013
South Sudan,11206572.0,,,2021-06-01,,108.34549116527762
Spain,46756648.0,,2020-03-17,2021-01-04,123.47620242865428,1270.769738098705
Sri Lanka,21422362.0,,,2021-01-30,,733.5792383678327
Sudan,43943536.0,,2020-07-08,2021-03-17,,81.1358793679561
Suriname,587154.0,,,2021-03-20,,1318.6432633800787
Swaziland,1161348.0,,,2021-04-02,,714.5240798719343
Sweden,10105596.0,,2020-04-11,2021-01-04,54.48796224718792,1227.6441874854477
Switzerland,8660952.0,,2020-03-25,2021-01-04,68.4297369003623,1410.2568247308918
Syria,17539600.0,,,2021-04-25,,25.92500887786983
Taiwan,23821199.0,,,2021-03-29,,55.891393208209216
Tajikistan,9557468.0,,,2021-05-07,,97.86762212195391
Tanzania,59886383.0,,,2021-08-08,,128.7351241830877
Thailand,69817894.0,,,2021-03-03,,105.66781299170478
Timor-Leste,1320812.0,,,,,
Togo,8296582.0,,,2021-03-13,,342.81614069772615
Trinidad and Tobago,1399950.0,,,2021-04-13,,1216.9788376795768
Tunisia,11830801.0,,,2021-03-21,,676.6969258181815
Turkey,84428331.0,,2020-03-30,2021-01-14,42.15093785678806,1354.381070654273
Uganda,45867852.0,,,2021-03-18,,159.5067790253909
Ukraine,43705858.0,,2020-04-30,2021-03-04,9.76070530408075,212.08827429952296
United Kingdom,67922029.0,,2020-03-22,2021-01-10,61.65893542432309,5349.21201092702
United States,331198130.0,,2020-03-19,2020-12-13,72.07971454025622,1422.625081447974
Uruguay,3474956.0,,,2021-03-01,,6421.942225071819
Uzbekistan,33516027.0,,2020-07-05,2021-04-02,15.174558401295865,804.9096227775641
Venezuela,28427499.0,,2020-07-14,2021-03-03,,102.02527254801181
Vietnam,97425470.0,,,2021-03-13,,16.836117564192058
Western Sahara,598682.0,,,,,
Yemen,29886897.0,,,2021-05-09,,207.5168035454913
Zambia,18430129.0,,,2021-04-22,,221.175879995197
Zimbabwe,14883803.0,,,2021-02-25,,140.45021513206896
